Name,Stars,Short Comments,DatedText,Reviews,Helpfull
Sk Maidul Islam,3.0 out of 5 stars,Three Stars,3 November 2016,Worth buying.,Helpful
yogesh,4.0 out of 5 stars,Good,31 October 2016,Good,Helpful
Kanhaiya Mishra,5.0 out of 5 stars,Awesome,26 February 2017,It is an awesome product at such a wonderful price.I have ordered it thrice till now.Wonderful Experience,One person found this helpful
Pooja pandey,5.0 out of 5 stars,Facewash,22 July 2018,It was nice .and bottle is good & comfortable to keep & use,2 people found this helpful
B Puthran,4.0 out of 5 stars,Overall good product. VFM,12 November 2017,Bottle a little bulky to manage. Overall good product. VFM.,Helpful
BABAN,4.0 out of 5 stars,Nice,19 August 2016,Very nice .,Helpful
Amazon Customer,5.0 out of 5 stars,Beautiful product,13 July 2016,It is very beautiful product on time delivery by amazon I got this product by some offer thank u amazon to gave me this product.,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,22 September 2016,Never worked . Used 2 bottles inn a row,Helpful
Amazon Customer,5.0 out of 5 stars,Best for me,14 May 2017,Himalaya neem facewash is best for my skin.Nice packing from amazon. Received before time. Find good deal on this,One person found this helpful
Ankush,5.0 out of 5 stars,It's nice. Got expected one.,17 April 2017,It's nice. Got expected one.,Helpful
Sipun Ghadai,4.0 out of 5 stars,Four Stars,3 February 2017,the face of the bottle alwayes dry...,Helpful
Amazon Customer,5.0 out of 5 stars,Good product good courier service and the shopping side ...,27 March 2016,Good productgood courier service and the shopping side also good I am fully satisfied.,Helpful
Ram,1.0 out of 5 stars,Chemical Face wash,17 January 2018,It's not contained any neem its only green colour chemical.,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,9 February 2016,I think the weight of himalaya is not clarified,One person found this helpful
Shweta Dharmappa,5.0 out of 5 stars,Five Stars,21 August 2017,Good budget friendly face wash for oily skin.,Helpful
rudram jariwala,1.0 out of 5 stars,One Star,2 March 2015,quality was not good,Helpful
saloni mathur,3.0 out of 5 stars,Three Stars,9 April 2017,VEry drying,Helpful
Prem Kumar,1.0 out of 5 stars,Beware of using this product,27 December 2016,Don't use this if your skin not suitable for this product,One person found this helpful
Kapil,3.0 out of 5 stars,Three Stars,25 May 2017,This is a great deal. Thanks amazon,Helpful
Amazon Customer,2.0 out of 5 stars,Unsealed product and a bit empty,24 October 2016,Face wash I received was not sealed at all and also it was a little bit empty.,One person found this helpful
R S SHIVAKRISHNA,3.0 out of 5 stars,Three Stars,13 October 2016,Good,Helpful
Swaroop,5.0 out of 5 stars,Five Stars,29 April 2017,Good,Helpful
HNRangaswamy,1.0 out of 5 stars,Worst,4 August 2017,Worst product ever seen by himalaya.The delivery nozzle not at all working.Feeling frauded !!!,Helpful
Dhanunjaya N,1.0 out of 5 stars,Started getting pimples after usage.,18 January 2016,Started getting pimples after usage.,Helpful
ABHIJEET PRABHAKAR TUPARE,4.0 out of 5 stars,Four Stars,30 November 2017,GOOD PRODUCT AT A NICE PRICE..:-),Helpful
Bandana,2.0 out of 5 stars,Fake product,16 September 2017,I feel like its a duplicate product. When i wash my face even after taking a lot of it does not produce any foam and the oil still remains. So disappointed by amazon,Helpful
SANCHARI BHATTACHARYYA,5.0 out of 5 stars,highly satisfying,30 June 2016,I am a regular user of the Himalaya products. This face wash is indeed effective.,Helpful
Viney kashyap,5.0 out of 5 stars,nice,5 March 2016,Good,Helpful
Bittu Prasad,4.0 out of 5 stars,Excellent,7 September 2017,Excellent,Helpful
Anand Aggarwal,4.0 out of 5 stars,Four Stars,30 October 2016,Standard quality so nothing to worry and fast delivery by Amazon,Helpful
Milan Banerjee,3.0 out of 5 stars,Three Stars,17 August 2017,good,Helpful
Anil Gupta,1.0 out of 5 stars,One Star,3 October 2015,Old Product....... Foam is only not there.,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,16 July 2016,To bad,One person found this helpful
Krishnendu Banerjee,5.0 out of 5 stars,Five Stars,5 May 2017,Beautiful soothing experience.,Helpful
Tanmay g.,5.0 out of 5 stars,Good,23 July 2018,Good,2 people found this helpful
Ankit soni,1.0 out of 5 stars,One Star,23 September 2015,Bhai maharo face wash kode ch,Helpful
Momo,1.0 out of 5 stars,Fake product,4 November 2016,Fake product.not Himalaya's original product,One person found this helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,9 March 2017,dont wait just go for itt...,Helpful
Ritesh,1.0 out of 5 stars,One Star,20 September 2015,Not good waste of money,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,4 April 2016,best products and effective results... awesome,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,28 November 2015,Cheep quality,Helpful
Priya Anand,5.0 out of 5 stars,Five Stars,23 September 2016,Good,Helpful
Nagarajan,4.0 out of 5 stars,Four Stars,6 October 2016,nice product,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,3 November 2016,Good,Helpful
Aman Arora,4.0 out of 5 stars,Four Stars,17 January 2017,Does the job a standard face wash should do. Nothing too fancy.,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,19 May 2016,no need to buy in online,Helpful
RAJIV KUMAR,2.0 out of 5 stars,delivery slow,2 April 2016,Price high,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,18 October 2016,good,Helpful
Anbu,5.0 out of 5 stars,Five Stars,22 July 2018,Worth the Price,One person found this helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,9 October 2016,Good product with fast delivery from amazon,Helpful
Sai Sankar Gudla,5.0 out of 5 stars,Five Stars,11 August 2017,Nice product,Helpful
Gopal Phoolkar,5.0 out of 5 stars,Five Stars,24 January 2017,Superb.....,Helpful
ramkrishna,5.0 out of 5 stars,Five Stars,27 September 2016,Nice,Helpful
Amazon Customer,2.0 out of 5 stars,Two Stars,11 January 2017,Pump was not in working condition,Helpful
Amazon Customer,1.0 out of 5 stars,Damage body,24 August 2017,Damage body..Nozel not work properly..Damage body delivered.....,Helpful
Dipen,4.0 out of 5 stars,Four Stars,6 September 2016,Not so good,Helpful
Amazon Customer,4.0 out of 5 stars,Four Stars,20 June 2017,Good product.,Helpful
Jinxer Albatross,1.0 out of 5 stars,waste for oily and combination skin,17 April 2018,waste,Helpful
MUKUL KAVIYA,2.0 out of 5 stars,Find break bottle,22 January 2018,Break bottle find bottle mouth is break,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,24 January 2017,It is very nice .,Helpful
Bhabna Didwania,5.0 out of 5 stars,Amazing product,22 July 2018,Amazing product loved it,One person found this helpful
SANKyo,5.0 out of 5 stars,Five Stars,28 April 2017,Perfect,Helpful
Amazon Customer,4.0 out of 5 stars,Good face wash.,9 April 2017,Nice one,Helpful
Rahul RanjanTOP 1000 REVIEWER,4.0 out of 5 stars,Decent product.,26 July 2017,Product is nice. Worth price. But they shipped it through GATI COURIER. They have pathetic service.They took 15 days to deliver the product.GATI COURIER SERVICE MAKES SHOPPING EXPERIENCE PATHETIC AT AMAZON.I had to self pick up the product.Rest the product is decent to use.Foams much therefore needs a lot of water to clean up.Leaves a little oil on face which goes off when you dry with a cloth.Contains no soap as mentioned.,7 people found this helpful
My Honest Reviews,5.0 out of 5 stars,A good cleanser for your face,19 July 2015,HIMALAYA....Face Wash! NEEM...A good cleanser for your faceRegular use with adequate Moisturisation gives you a softsuppleCleanhealthy and pimple free skin!But Use Twice daily is not recommendedBefore go to bed Wet Your FaceTake a small amount of this geland apply in circular motions in upward directionand wash your face thoroughly with waterpat dry...Now Apply thin film of Moisturisers which are rich in Vitamin E (Example:Evion)....like that!Regular Usage with this directions can give you a healthyglowing skin!..Best of Luck! ?,3 people found this helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,28 May 2017,Nice,Helpful
Sijo JoshuaTOP 1000 REVIEWER,4.0 out of 5 stars,You can face this face wash without any doubts...,2 November 2017, I was using Garnier Acno fight earlier when I came to know about this from one of my friends.GARNIER ACNO FIGHT :Garnier Acno fight is good and I liked it a lot as it is for men and the cooling feel of it after the wash is really amazing. I bought Garnier Acno fight 100g from a nearby store and at first I thought that it won't last for 1 and a half month but to my surprise it lasted for 3 months. I have an oily face and few small pimples. As mentioned in its name Acno fight I thought that it could fight with both but it only worked on my oily face. My pimples are still as it is. My face was oil free for few hours only and after that it was again the same. This facewash made my face really dry after wash. It makes good foam in less amount by the way.The face wash is really hard and cleanses the skin really well. As I have a dark skin tone so after wash I look like I have put white putty on my face and it really looked weird. I thought I must change my face wash and one of my friends recommended about Himalaya Neem Face Wash. I got it on Amazon at a great deal and got the product after few days as expected.- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -HIMALAYA NEEM FACE WASH :*What I liked about it*:? It's been a week using this face wash and I feel that it is quite good compared to the earlier one I used.? The best thing I liked about this face wash is that it won't hurt your eyes like Garnier Acno fight does. As Garnier foams great sometimes it got into my eyes while applying and it hurt until I wash it with water.? The face wash is really mild and gentle to my face as it is made of natural ingredients compare to Garnier Acno Fight.? Though it makes my skin dry too and to combat with this I put a small amount of moisturizing cream. But it never made my face like I had put putty on my face though.? As I changed apparently my face wash so my face couldn't tackle it at first and my pimples were still the same for few days. But now it's getting lesser and my face becoming pimple free as I used to this face wash. It will take few days to completely vanish my pimples.? Himalaya neem face wash foam less when I take the same small amount as Garnier face wash.? Sometimes the facewash slips from my hand when I try to foam while rubbing and applying to my face. But I never face this issue while using Garnier Acno fight.? The face wash looks like aloe vera gel and smells really good.*What I didn't like about it and why I rated it 4 star*:? I would suggest you buy rather 100ml or 200ml because the face wash comes out easily from those two and looks convenient to carry anywhere.? Though compare to quantity and price it's a great deal to buy 300ml. I thought the same and made the biggest mistake as the cap is upside down and when I press the bottle the entire face wash comes towards the exit and creates a vacuum at the exit side and the face wash never comes out from where it has to come out no matter how hard I press. I have to remove the cap in order to take the facewash out. I have attached a video as well to show how it looks like actually.- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -? You can use 300ml as a refill for 200 ml just like you use refill for your handwash.? I saw that some people faced of the low quantity of facewash when they buy 300ml so to see that I bought a 300ml thumbs-up bottle to check. I have attached an image as well but as you can see It's totally a full 300 ml facewash but just less to 5-10 ml.- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -Verdict: Thumbs up for Himalaya Neem face wash but not for it's 300ml bottle.P.S. : My name is Sijo and I'm not a paid reviewer.If you found this review helpful please do support.,6 people found this helpful
RAM SINGH Gurjar,5.0 out of 5 stars,good packing,4 September 2018,Exelent prodect,Helpful
M A Parvez,3.0 out of 5 stars,Too Much Hype !!! Is it really work??,6 February 2018,This is the full review of the Himalaya Purifying Neem Face Wash. In this article I covered all there is to know about the product right from its look and feel to its ingredients and also a list of pros and cons to help you make a better well-informed choice. This face wash is probably one of India's most famous face washes and many people claim to see benefits after using this. Read the entire article to find out what I have to say about this!!!!Packaging - 4/5Fragrance - 4/5Verdict - ???With out wasting any time " suru karte hai" ??Starting with the Packaging  I am impressed with the Packaging it's very easy to use but you have to keep it on a dark place (away from sunlight) as it is a plastic bottle.Now taking about it fragrance I am very impressed with its fragrance  it's very good and refreshing.Now let's talk about it ingredients you can see it at the image. Yeah it contains some natural extract like neem and turmeric. But you can see some preservative and colours have been added.ConclusionIf I talk about it cleaning capacity yes it can clean very much and it is soap free  mostly sulfates free and gives a creamy lather not gives too much bubbles which is nice.It says it will decrease the acne and pimples. But I am strongly disagree  it can't prevent any pimples or acne. It will increase your acne and pimples problem bit. You can see irritation on skin.Advantages :- 1- smells good2- cheap3- any bubbles/sulfates free which gives very good creamy lather4- works for almost every skin typeDisadvantages :- 1- the preservatives and colorants used are very bad for your skin2:- Does not help in preventing or treating acne or pimples3:- could cause some breakout on skin.Final verdict:-If you don't mind ingredients then you can go with it for cleaning your face. If you have normal to oily skin then you can use it one time per day but if you have very very oily skin then two times per day. But if you have dry or sensitive skin then I will not recommend it all as it will cause irritation in your face. If you have lots of acne and pimples then it will not work or treat's your acne. It is a average face wash overall.,2 people found this helpful
Shubham,4.0 out of 5 stars,A good product !,10 October 2015,While looking for a normal facewash online my search stopped at this very good product.1. It's a natural herbal product by Himalaya2. 200ml volume is almost enough for a month usage3. A sqeeze bottle simply relieves the tension of doing away with facegel pouches4. The best feature - The bottle has a lock too. So no fear if you're taking it in your travel bag.,5 people found this helpful
$¥€|),1.0 out of 5 stars,I DIN'T EXPECT THIS FROM HIMALAYA BRAND ALTHOUGH I CANNOT BLAME AMAZON FOR THIS THEY'VE DONE VERY FAST LIGHTINING DELIVERY.,5 July 2015,I din't even expect this from Himalaya brand. Although I cannot blame this for amazon the product was 3rd class everytime I did facewash using this Pimpiles got arise on my full cheeks -_-I bought it when I saw many users had a positive experience using this but I think those might not be true.,One person found this helpful
Kams,1.0 out of 5 stars,Not a good product for oily and acne porn skin,5 July 2017,After reading so many reviews I have finally thought of buy this product. But I am very much disappointed. The face wash doesn't clean the skin well and no effect on acne there are as the same. Will not recommend this product for oily and acne porn skin.,4 people found this helpful
Hayat,5.0 out of 5 stars,Superb...... Amazing.......,28 October 2017,Amazing Product I Love ThisThank You Amazon......,8 people found this helpful
Hena Sarkar,4.0 out of 5 stars,The best there is.,24 April 2017,My oily acne-prone skin was going through a really bad phase after I'd used Biotique's toner and jovees' face wash. I was really helpless but so many positive reviews about THIS face wash urged me to try it and guess what I'm not disappointed. I have visibly less pimples. Also unlike most other facewash products made to fight pimples it does not make the face completely dried up after washing. But yes the oil does return after about 40 mins. I'd recommend it for the ones with skin that's not TOO oily (like somewhere between combination and oily) and suffering from minor pimples.,2 people found this helpful
Amazon Customer,1.0 out of 5 stars,One Star,29 December 2016,wrost product .received a damaged peice,5 people found this helpful
LEO OOMMEN KURIAN,5.0 out of 5 stars,Best Result..awesome Product,19 October 2017,People who are suffering frm pimples and scars ...every day apply on ur fAce theneem pack. And after it dry...wash wit plain water ths is highly recommended im using it....ths is gud fr face.makes skin clear.. Very good product and we can feel the freshness after every wash,2 people found this helpful
Hemant Bhardwaj,1.0 out of 5 stars,face wash is good but bad packaging,30 August 2017,I have been using this face wash from many years and I think in this price range it's very good face wash. But slight amount of face wash was spilled out in the package I received. because the amount of spilled face wash is very small I'm not returning it.,Helpful
Atul Baldi,1.0 out of 5 stars,One Star,16 August 2016,It doesnt produce enough foam. Have use more quantity compared to Clean & clear of Johnson and Johnson,One person found this helpful
Prakash Panigrahi,5.0 out of 5 stars,Facewash works for real.,28 March 2018,The facewash really cures pimples and dark spots.My pimples were gone after regular use for just a week.,3 people found this helpful
Jaykumar Hankare,1.0 out of 5 stars,Burning skin slowly...,5 September 2018,This includes acids which will burn your skin slowly...to examine this in fast period you need to determine any spot on your face. And then you should apply this facewash cream only on that spot for 4 to 5 times a daily. You will see your skin will burn slowly. But don't worry. You will take complete rest from this himalaya facewash and see your face restating again. Worst experiencing with this product.,Helpful
binod panda,5.0 out of 5 stars,awesome,4 June 2016,nice product original Himalaya so no doubt of quality,Helpful
sayali,5.0 out of 5 stars,Exactly as shown in the picture.,10 September 2016,No Complains. Product received exactly as shown in the picture.,Helpful
Hemant Bhoir,4.0 out of 5 stars,Excellent Face Wash,21 September 2015,I have been using this face wash from the past 1 years. The best thing about this face wash is that it only removes the extra oil from the skin unlike other face wash which remove the necessary oils from the skin.,9 people found this helpful
Koyel P,5.0 out of 5 stars,Works like a charm,30 November 2017,I swear by this neem variant offace wash from Himalaya. Need I say more? Haha. This facewash didn't break me out. It doesn't dry out the skin too much after applying it and leaves behind a moisturising effect. Theres no fragrance which is another plus point. Been using this facewash for a long time. Its a good facewash for oily and acne prone skin like mine!,One person found this helpful
Munnagkumar Anne,4.0 out of 5 stars,Refreshes you in a min No Side effects and cheaper to buy on Amazon,23 November 2017,I have been using Himalaya Neem face wash for 5 months now.the product is really good It instantly refreshes your face and makes you feel fresh. there are no side effects with this product and the cost is cheaper on Amazon.If there is anything that could improve on this product is that sometimes my skin feels little dry after washing my face but it is not a major issue as I use moisturizer anyway.,Helpful
Anand,1.0 out of 5 stars,One Star,3 March 2015,Excellent Product.,Helpful
Subhasis,3.0 out of 5 stars,Average product,19 February 2017,No significant effect on pimple,One person found this helpful
Darshna,1.0 out of 5 stars,One Star,19 October 2016,In picture showing tube is full but when I recieved it was not,2 people found this helpful
Fal,3.0 out of 5 stars,Three Stars,3 February 2016,Expected some discount,Helpful
Amazon Customer,1.0 out of 5 stars,Doesn't like this product,26 December 2016,This product is not as good as expected. You need to apply 2-3 times to get minimum foam & doesn't clean efficiently. After clean texture is also not good.,Helpful
Aswiñ,5.0 out of 5 stars,Five Stars,29 November 2016,Good,Helpful
Karim Syed,5.0 out of 5 stars,A steal deal purchase,28 May 2018,I have been using this Himalaya face wash since last 4 years. Amazon provides great deal at times. I was lucky to grab one.Delivery and packing was perfect.Benefits of this face wash is it clears your skin problems. But at the same time you also need to take care of eating habits.,Helpful
Pawandeep Singh Thukral,5.0 out of 5 stars,loved it thanks for the service,2 December 2016,loved it thanks for the service,Helpful
Amazon Customer,1.0 out of 5 stars,300g bottle's constancy is watery compared to 100g,19 May 2017,300g bottle is cheaper than 100g but it's constancy is watery so I guess they're fooling costumes,Helpful
AryanDev,5.0 out of 5 stars,Awsome,26 January 2017,Nice herbal face wash,Helpful
Amazon Customer,1.0 out of 5 stars,Not good for oily skin,11 September 2017,Not good for oily skin...i don't know y people are so obsessed with this face wash.i have a oily skin and when I used this face wash it maked my face dull it gives u just fresh feeling but if u look at the mirror Ur face will be dull and it forms a layer on face.. may be people with dry skin got benefitted with this product .but oily skin people plz don't use this face wash and the better one for oily skin people is lotus tea tree face wash..,One person found this helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,18 January 2017,Easy to use as compared to the tube variant....,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,26 March 2017,NO,One person found this helpful
kaushlendra 8896@,1.0 out of 5 stars,One Star,20 May 2017,Product mrp .is different thanThis is cheating,Helpful
Amazon Customer,1.0 out of 5 stars,duplicate himalaya facewash.,1 April 2016,This product is a duplicate one.I didn't expected this from amazon.Please amazon check the product. It is coated with plastic in which himalayas picture is printed. But actual himalaya face wash has print in its container. And there is no symbol of himalaya in the container.,3 people found this helpful
Nick Slick,5.0 out of 5 stars,Awesome pack,13 February 2017,Great Product.. it Works WellDon't Worry.. It's Fully Filled... This pic below is taken after a week,2 people found this helpful
Utkarsh Chaudhary,5.0 out of 5 stars,Value for money,17 April 2018,Just loved it. Got it for 192 in lightening deal.1. Packaging was great.2. Delivery was quick.3. This facewash is value for money and I have been using it for 2 years now.4. Expiry is in 2020,Helpful
Amazonian,4.0 out of 5 stars,The perfect t product for you in case you are facing ...,11 October 2017,The perfect t product for you in case you are facing pimple problem. I get rid of mine. Before using this I used a lot of other products but nothing worked for me. Go for it.,Helpful
gargi saha,5.0 out of 5 stars,I am miss india 2017 using this product,24 February 2017,Fantastic product. My skin looks farer enough. Lost all my skin problems. Lost all facial hair. Lost everything. Nice one. Try it. Now i am the miss india 2017,One person found this helpful
Abhishek,1.0 out of 5 stars,Useless.,9 May 2018,Completely useless for me. It generates pimples for my skin  whenever i used it i got pimples on my cheeks. It is supposed to do opposite.,Helpful
Amazon Customer,5.0 out of 5 stars,True value for your money.,3 July 2018,100% satisfied with the product. Original & genuine product by Himalaya.true value for your moneyThanks to amazon.Now anybody can shop by closed eye on the amazon shopping app.,Helpful
NALASIVA NANDA GOPAL,5.0 out of 5 stars,Good one at this price,25 October 2018,Liked so much and good one at this price.. great great great great great great great great great great great great great,Helpful
Rajesh,4.0 out of 5 stars,Great product,10 November 2017,Have this this product earlier and have no complaints. Its a nice product and at the price i got it was a steal.,Helpful
R P R.,5.0 out of 5 stars,no complains with quality packing price & delivery ...,13 January 2018,no complains with quality packing price & delivery.,Helpful
shpusalk,5.0 out of 5 stars,Reliable performer go for it.,12 March 2018,Have been using this product since 2013 continuously. Beats many other expensive face washes hands down. Reliable performer and great value for money.The new packaging of 300 ml is awesome.,Helpful
Amazon Customer,2.0 out of 5 stars,Two Stars,1 May 2017,I want to cancel the repeating order for Himalaya been face wash 200ml with immediate effect. Confirm..,Helpful
Anju,2.0 out of 5 stars,Its ok... Nothing to talk too much ...,17 August 2015,Its ok... Nothing to talk too much about it... Cleans face.. Removes excess oil... I have an ordinary skin.. So nothing special happened to it....,Helpful
Mr. Raj MukeshTOP 1000 REVIEWER,4.0 out of 5 stars,Yeah Really Effective!,26 August 2015,The bacteria must discharge those who are in dust polluted environment. Should use it regularly. ?,One person found this helpful
archana u sarada,3.0 out of 5 stars,Three Stars,14 September 2017,Gud face wash got it for discount on amazon,Helpful
Peer Muzaffar Ahmad Shah,4.0 out of 5 stars,Four Stars,6 May 2018,Nice product,Helpful
TS Singh,4.0 out of 5 stars,Best face wash for the price,20 September 2014,It’s a face-wash that does its job pretty well. It's good for a regular face wash but you may want to use one of the expensive ones for special events like parties.This one leaves no side effects. It does not bleach the skin like some other strong face washes do so it’s pretty safe in my view. Also it washes off fairly quickly so you don't have to waste too much water and time in washing it off. It’s a great quick & effective face wash. You get 100 ML for Rs. 100 which I think is very cost effective when compared to other face washes. You also get free shipping from Amazon. No complaints.,23 people found this helpful
Amazon Customer,1.0 out of 5 stars,Waste of money,18 April 2018,It's very bad quality product. If u r using once then after using 2 or 3 days suddenly many pimples r show on the face. It's totally hand wash.,Helpful
Avijit Bose,5.0 out of 5 stars,Five Stars,12 September 2017,Very good product and fast delivery. . Just 2 days.,Helpful
AMAN KUMAR,5.0 out of 5 stars,A Good deal.,23 September 2018,Himalaya Products are really Nice. I use it Regularly. Packing was good . Delivered on time. A Must buy .,Helpful
arshad sheikh,5.0 out of 5 stars,Herbal products is always good,27 July 2018,Good product & expiry date also 3 years,Helpful
Shreya,3.0 out of 5 stars,Nozzle problem,27 July 2018,The dispenser doesn't work for long. It gets blocked when u press it,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,12 October 2017,good,Helpful
Rashi,5.0 out of 5 stars,nice product,11 August 2018,Five star,Helpful
WilsonJTOP 500 REVIEWER,4.0 out of 5 stars,Review : Himalaya Neem Face Wash,13 November 2017,Review :It is actually a Neem-based product and I guess everyone is aware about the medicinal and antiseptic properties associated with Neem. The product is specifically meant to maintain a flawless complexion and healthy skin while keeping the skin troubles and disease at bay.This face wash is in gel form and has a very firm pleasant texture and it never smells bad or strange in spite of the presence of turmeric and Neem. It helped me a lot to clear up the excess oil there on my face.Prices:• 15ml – INR 15• 50ml – INR 55• 100ml – INR 130• 150ml – INR 150 and• 200ml – INR 180.I personally prefer the big bottle because of two three reasons… it is in spray form has a very attractive packaging and good quantity.Pros –1. Easily available2. Affordable3. Convenient packaging4. Suitable for Dry skin and Oily Skin.5. Prevents breakouts6. Little product required per usage7. Gentle8. Hygienic9. Budget-buy10. “0” Side effects for sure ?Cons –1. Doesn’t completely cure severe acne breakouts.2. No deep cleansing3. In case you prefer your face wash to form lather a lot then this face wash is not for you.My Rating :4.5/5LoveJamieWHimalaya Neem Face Wash 200ml,One person found this helpful
Vikas Sharma,5.0 out of 5 stars,Five Stars,2 December 2017,good discount in lighting deal.,Helpful
Manoj Shah,5.0 out of 5 stars,my son has been using it regularly and is satisfied with the product,12 March 2018,Yes my son has been using it regularly and is satisfied with the product.,Helpful
Ashutosh Verma,5.0 out of 5 stars,Awesome product,27 November 2017,Delivery before schedule time and product is very much effective for pimples and acnes.,Helpful
Amazon Customer,1.0 out of 5 stars,One Star,5 September 2017,Worst site will never recommend other to use.. all frauds...,One person found this helpful
A1,5.0 out of 5 stars,Five Stars,12 February 2018,Ontime tq amazon,Helpful
Amazon Customer,5.0 out of 5 stars,Value for the money,11 June 2018,I like it.,Helpful
Mayank Mittal,1.0 out of 5 stars,Really bad,10 November 2017,Don't buy if you r looking for foaming face wash it just gets absorbed in the skin. Didn't like it.,Helpful
SHINU,1.0 out of 5 stars,Product good but price not,13 October 2018,Better u have to buy it from market. No difference. Same rate.,Helpful
NIHIR SHAH,5.0 out of 5 stars,Five Stars,14 September 2017,Good product,Helpful
RD,5.0 out of 5 stars,Good product,2 September 2018,Effective for pimples.,Helpful
Bagavathy Priyanka,4.0 out of 5 stars,Four Stars,8 September 2017,Good.,Helpful
anurag,5.0 out of 5 stars,Good product at great cost,20 October 2017,Very good product for regular face wash. Through out the market it is cheapest in amazon.,Helpful
Rahul,4.0 out of 5 stars,Removes pimple it's true,15 June 2018,It removes pimples on face but wil dry your skin can make skin from oily to dry,Helpful
Piyush Jain,2.0 out of 5 stars,Not like garnier,29 July 2016,Take too much time to dissolve,One person found this helpful
Srujan,5.0 out of 5 stars,Aswome face wash,3 June 2017,Its really aswome face wash makes us pimple free and refresh... I'll suggest you Himalaya face wash go for it guys its worth of ?,Helpful
JUHI,1.0 out of 5 stars,Not good.. they r claiming it has neem,6 March 2017,Not good..they r claiming it has neem..don't think so.. it's a ordinary face wash with cheap price,One person found this helpful
Rohit,3.0 out of 5 stars,Not at all good. it only cleans face,26 February 2018,Not at all good . it only cleans face . it will not bright your face . .,Helpful
Amazon Customer,4.0 out of 5 stars,Soothes your face,12 October 2017,Nice,Helpful
Amish Verma,5.0 out of 5 stars,Excellent product,15 June 2017,It's a great product. Cleans the face thoroughly. Really helpful to when your face has become dry due to pollution. Feels good after applying. Suitable for all skin types. Overall an excellent product.,5 people found this helpful
Vm,4.0 out of 5 stars,Four Stars,13 September 2017,Nice Product.,Helpful
dinesh chawla,4.0 out of 5 stars,Four Stars,24 September 2016,nice one,Helpful
madhu kumari,5.0 out of 5 stars,Just for oily skin...,29 August 2018,Fabulous FOR oily skin....superbbb,Helpful
Y Sanjeev Rao,4.0 out of 5 stars,Four Stars,29 September 2017,Very gud product..!!,Helpful
Amazon Customer,3.0 out of 5 stars,very happy,19 June 2018,Nothing the product was as per order,Helpful
Amazon Customer,3.0 out of 5 stars,Three Stars,11 December 2017,It was not sealed properly and as soon as I removed the cover pressing top came off!,Helpful
Sachin Mense,5.0 out of 5 stars,Five Stars,13 November 2017,very good,Helpful
Shvetank,5.0 out of 5 stars,Himalaya neem is the best.,3 December 2017,No other face wash for me. Himalaya neem is the best.,Helpful
Apoorv,4.0 out of 5 stars,Four Stars,20 March 2018,Nice product as always.,Helpful
Amazon Customer,5.0 out of 5 stars,Recommended,15 August 2018,Best,Helpful
Basu,4.0 out of 5 stars,Value for Money,3 November 2017,Very nice Product,Helpful
Shagun,5.0 out of 5 stars,a must have for every season!!!! love it. healed my sensitive skin.,9 October 2016,i am currently having sensitivity issue with my skin and i used dove bar which i've been using for years but it stinks my inflammed skin so as neem is coolent  i started using this and i didnot feel any dryness or itchy feeling and it also did not sting my skin or gives any inflammation to skin. it is super gentle mild soothing coolent for face. it cleanses my skin properly and refreshens it. i never wanted to try this is one as everybody uses it but i swear i all going gaga over this product and the himalaya aloevera wash is super good too.,One person found this helpful
Amazon Customer,1.0 out of 5 stars,too bad,19 August 2018,it gives oily skin after 10 minit use.,Helpful
Amazon Customer,5.0 out of 5 stars,Five Stars,9 October 2017,Amazing product quality thank you Amazon,Helpful
madan lal sethia,5.0 out of 5 stars,Fully satisfied,28 January 2018,Nice product and genuine....bought it for 150 RS..happy,Helpful
DIBYA RANJAN PATTNAIK,1.0 out of 5 stars,One Star,16 October 2017,I was paid ?30 extra for gift but I did not get any gift .plz look after this matter.,Helpful
Amazon Customer,5.0 out of 5 stars,IT CLEAR UR PIMPLES VERY FAST,20 April 2016,The best ever face wash from himalaya.i lik it so much.it cleanse my face & clear pimples within 1 week like a magic.you will blindly buy this product....,Helpful
M Viswanath,4.0 out of 5 stars,Four Stars,30 November 2017,Good for dry skin. Don't use this who are oil faces.,Helpful
Mukesh Pundir,5.0 out of 5 stars,Five Stars,12 October 2016,nice,Helpful
Jaishnavi,5.0 out of 5 stars,Five Stars,5 July 2018,Cleared Acne totally !,Helpful
